variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable17,variable18,variable19,classLabel
a,25,8.75E-03,u,g,x,h,104,t,f,0,t,g,160,5860,1600000,f,1,yes.
b,2667,175,y,p,c,v,1,t,t,5,t,g,160,5777,1600000,NA,1,yes.
b,485,425,u,g,m,v,125,t,f,0,t,g,225,0,2250000,NA,1,yes.
b,3742,204,u,g,W,v,4,t,f,0,t,g,400,5800,4.00E+06,NA,1,yes.
b,18,1.65E-03,u,g,q,n,21,f,f,0,f,g,200,40,2.00E+06,f,1,yes.
a,565,16,u,g,j,ff,0,t,t,15,f,g,0,247,0,t,1,yes.
b,2575,5.00E-05,u,g,c,v,146,t,t,5,t,g,312,0,3120000,t,1,yes.
a,2258,1075,u,g,q,v,415,t,t,5,t,g,0,560,0,NA,1,yes.
b,3317,304,y,p,c,h,204,t,t,1,t,g,180,18027,1800000,t,1,yes.
b,32,175,y,p,e,h,4,t,f,0,t,g,393,0,3930000,NA,1,yes.
a,4083,1,u,g,q,h,175,t,f,0,f,g,29,837,290000,NA,1,yes.
b,5967,154,u,g,q,v,125,t,f,0,t,g,260,0,2600000,f,1,yes.
b,425,4915,y,p,W,v,3165,t,f,0,t,g,52,1442,520000,NA,1,yes.
a,2808,15,y,p,e,z,0,t,f,0,f,g,0,13212,0,NA,1,yes.
a,3775,55,u,g,q,v,125,t,f,0,t,g,228,0,2280000,f,1,yes.
b,5392,9625,u,g,e,v,8665,t,t,5,f,g,0,0,0,NA,1,yes.
b,4767,2.90E-04,u,g,c,bb,15,t,t,20,f,g,0,15000,0,t,1,yes.
b,2325,1.00E-04,u,g,c,v,835,t,f,0,f,s,300,0,3.00E+06,f,1,yes.
b,2267,254,y,p,c,h,2585,t,f,0,f,g,0,0,0,f,1,yes.
b,5458,9415,u,g,ff,ff,14415,t,t,11,t,g,30,300,3.00E+05,NA,1,yes.
b,3425,3.00E-04,u,g,cc,h,7415,t,f,0,t,g,0,0,0,NA,1,yes.
b,2758,204,y,p,aa,v,2,t,t,3,t,g,370,560,3700000,NA,1,yes.
a,46,4.00E-04,u,g,j,j,0,t,f,0,f,g,100,960,1.00E+06,NA,1,yes.
a,6092,5.00E-04,u,g,aa,v,4,t,t,4,f,g,0,99,0,t,1,yes.
a,4742,3.00E-04,u,g,x,v,13875,t,t,2,t,g,519,1704,5190000,NA,1,yes.
b,3733,65,u,g,m,h,425,t,t,12,t,g,93,0,930000,NA,1,yes.
a,3325,25,y,p,c,v,25,f,f,0,t,g,0,2,0,f,0,no.
a,2458,6.70E-04,u,g,aa,h,175,t,f,0,f,g,400,0,4.00E+06,NA,0,no.
b,2183,154,u,g,k,v,85,f,f,0,t,g,356,0,3560000,NA,0,no.
b,1517,7.00E-04,u,g,e,v,1,f,f,0,f,g,600,0,6.00E+06,NA,0,no.
b,2292,3165,y,p,c,v,165,f,f,0,f,g,160,1058,1600000,NA,0,no.
a,695,6.00E-04,u,g,ff,ff,0,f,f,0,f,s,0,0,0,f,0,no.
b,33,25,y,p,W,v,7,f,f,0,t,g,280,0,2800000,NA,0,no.
a,23,1835,u,g,j,j,0,f,t,1,f,g,200,53,2.00E+06,NA,0,no.
b,22,7.90E-04,u,g,W,v,29,f,t,1,f,g,420,283,4200000,NA,0,no.
b,2475,5.40E-04,u,g,m,v,1,f,f,0,t,g,120,1,1200000,NA,0,no.
b,2075,5085,y,p,j,v,29,f,f,0,f,g,140,184,1400000,NA,0,no.
b,23,7.50E-04,u,g,m,v,5,t,f,0,t,s,320,0,3200000,NA,0,no.
b,2067,8.35E-03,y,p,c,v,2,f,f,0,t,s,240,0,2400000,f,0,no.
b,4875,26335,y,p,ff,ff,0,t,f,0,t,g,0,0,0,f,0,no.
b,5183,3.00E-04,y,p,ff,ff,15,f,f,0,f,g,180,4,1800000,f,0,no.
b,2275,115,u,g,i,v,415,f,f,0,f,g,0,0,0,NA,0,no.
a,1792,1021,u,g,ff,ff,0,f,f,0,f,g,0,50,0,NA,0,no.
NA,4225,175,y,p,NA,NA,0,f,f,0,t,g,150,1,1500000,f,0,no.
a,2767,204,u,g,W,v,25,f,f,0,t,g,180,50,1800000,f,0,no.
b,2875,15,y,p,c,v,15,t,f,0,t,g,0,225,0,f,0,no.
b,3775,7.00E-04,u,g,q,h,115,t,t,7,t,g,300,5,3.00E+06,t,0,no.
b,2875,1165,u,g,k,v,5,t,f,0,f,s,280,0,2800000,NA,0,no.
b,235,275,u,g,ff,ff,45,f,f,0,f,g,160,25,1600000,f,0,no.
a,295,1085,y,p,x,v,1,f,f,0,f,g,280,13,2800000,NA,0,no.
a,3192,3125,u,g,ff,ff,304,f,t,2,t,g,200,4,2.00E+06,NA,0,no.
b,1883,4.15E-03,y,p,c,v,165,f,t,1,f,g,200,1,2.00E+06,t,0,no.
b,2675,45,y,p,c,bb,25,f,f,0,f,g,200,1210,2.00E+06,f,0,no.
a,2717,125,u,g,ff,ff,0,f,t,1,f,g,92,300,920000,t,0,no.
b,4717,5835,u,g,W,v,55,f,f,0,f,g,465,150,4650000,f,0,no.
b,2375,4.15E-03,y,p,c,v,4,f,t,2,f,g,128,6,1280000,NA,0,no.
b,4158,175,u,g,k,v,21,t,f,0,f,g,160,0,1600000,NA,0,no.
b,2633,13,u,g,e,dd,0,f,f,0,t,g,140,1110,1400000,f,0,no.
b,3942,171,y,p,m,v,165,f,f,0,f,s,400,0,4.00E+06,NA,0,no.
b,3525,3165,u,g,x,h,375,t,f,0,t,g,680,0,6800000,f,0,no.
b,1883,354,y,p,ff,ff,0,f,f,0,t,g,180,1,1800000,f,0,no.
b,4483,7.00E-04,y,p,c,v,1625,f,f,0,f,g,160,2,1600000,NA,0,no.
b,5075,5.85E-03,u,g,ff,ff,0,f,f,0,f,g,145,0,1450000,f,0,no.
b,1917,4.00E-04,y,p,i,v,1,f,f,0,t,g,360,1000,3600000,f,0,no.
b,215,115,u,g,i,v,5,t,f,0,t,g,100,68,1.00E+06,f,0,no.
a,2558,0,NA,NA,NA,NA,0,f,f,0,f,p,NA,0,NA,NA,1,yes.
a,2042,8.35E-03,u,g,q,v,1585,t,t,1,f,g,0,0,0,t,1,yes.
a,4417,6665,u,g,q,v,7375,t,t,3,t,g,0,0,0,t,1,yes.
b,3475,15,u,g,r,n,5375,t,t,9,t,g,0,134,0,NA,1,yes.
b,205,1,y,p,c,v,25,t,f,0,f,s,40,0,4.00E+05,NA,1,yes.
b,2267,1.65E-03,u,g,c,j,225,f,f,0,t,s,0,0,0,NA,1,yes.
b,2208,8.30E-04,u,g,c,h,2165,f,f,0,t,g,128,0,1280000,NA,1,yes.
b,4283,4625,u,g,q,v,458,t,f,0,f,s,0,0,0,NA,1,yes.
a,1892,925,y,p,c,v,1,t,t,4,t,g,80,500,8.00E+05,t,1,yes.
a,2067,3.00E-04,u,g,q,v,165,t,t,3,f,g,100,6,1.00E+06,NA,1,yes.
a,3233,5.40E-04,u,g,cc,v,4,t,f,0,f,g,440,11177,4400000,f,1,yes.
b,2892,15,u,g,c,h,5335,t,t,11,f,g,0,2283,0,NA,1,yes.
a,5283,15,u,g,c,v,55,t,t,14,f,g,0,2200,0,NA,1,yes.
a,2067,1835,u,g,q,v,2085,t,t,5,f,g,220,2503,2200000,NA,1,yes.
b,3625,5.00E-04,u,g,c,bb,25,t,t,6,f,g,0,367,0,NA,1,yes.
a,2033,1,u,g,c,h,1,t,t,4,f,g,50,1465,5.00E+05,NA,1,yes.
b,2575,7.50E-04,u,g,c,bb,25,t,f,0,f,g,349,23,3490000,f,1,yes.
a,2817,3.75E-03,u,g,q,v,585,t,t,4,f,g,80,0,8.00E+05,t,1,yes.
b,2392,6.65E-03,u,g,c,v,165,f,f,0,f,g,100,0,1.00E+06,NA,1,yes.
b,56,125,u,g,k,h,8,t,f,0,t,g,24,2028,240000,NA,1,yes.
a,2075,1025,u,g,q,v,71,t,t,2,t,g,49,0,490000,t,1,yes.
a,305,65,u,g,c,bb,4,t,t,7,t,g,0,3065,0,t,1,yes.
a,4583,105,u,g,q,v,5,t,t,7,t,g,0,0,0,t,1,yes.
b,39,5.00E-04,u,g,cc,v,35,t,t,10,t,g,0,0,0,t,1,yes.
b,2208,11,u,g,cc,v,665,t,f,0,f,g,100,0,1.00E+06,NA,1,yes.
b,2825,5125,u,g,x,v,475,t,t,2,f,g,420,7,4200000,NA,1,yes.
a,1883,4415,y,p,c,h,3,t,f,0,f,g,240,0,2400000,f,1,yes.
a,2867,104,u,g,c,v,25,t,t,5,t,g,300,1430,3.00E+06,NA,1,yes.
a,225,846,y,p,x,v,246,f,f,0,f,g,164,0,1640000,f,1,yes.
b,NA,105,u,g,x,v,65,t,f,0,f,g,0,0,0,f,1,yes.
b,3608,254,u,g,ff,ff,0,f,f,0,f,g,0,1000,0,NA,0,no.
NA,4083,35,u,g,i,bb,5,f,f,0,f,s,1160,0,11600000,f,0,no.
b,20,125,y,p,k,v,125,f,f,0,f,g,140,4,1400000,NA,0,no.
b,4325,2521,u,g,q,h,21,t,t,1,f,g,760,90,7600000,NA,0,no.
b,5233,1375,y,p,c,h,946,t,f,0,t,g,200,100,2.00E+06,NA,0,no.
b,1933,10915,u,g,c,bb,585,f,t,2,t,g,200,7,2.00E+06,NA,0,no.
b,2358,4.60E-04,y,p,W,v,2625,t,t,6,t,g,208,347,2080000,t,0,no.
b,6917,9.00E-04,u,g,ff,ff,4,f,t,1,f,g,70,6,7.00E+05,NA,0,no.
a,2492,125,u,g,ff,ff,0,t,f,0,f,g,80,0,8.00E+05,f,0,no.
a,2358,5.85E-03,y,p,ff,ff,125,f,f,0,f,g,120,87,1200000,f,0,no.
b,20,0,u,g,d,v,5,f,f,0,f,g,144,0,1440000,NA,0,no.
a,32,6.00E-04,u,g,d,v,125,f,f,0,f,g,272,0,2720000,NA,0,no.
b,2783,1.00E-04,y,p,d,h,3,f,f,0,f,g,176,537,1760000,NA,0,no.
b,2983,125,y,p,k,v,25,f,f,0,f,g,224,0,2240000,f,0,no.
b,2567,2.90E-04,y,p,c,v,15,f,f,0,t,g,160,0,1600000,f,0,no.
b,3125,2835,u,g,ff,ff,0,f,t,5,f,g,176,146,1760000,NA,0,no.
b,2308,25,u,g,ff,ff,85,f,f,0,t,g,100,4208,1.00E+06,NA,0,no.
b,31,2085,u,g,c,v,85,f,f,0,f,g,300,0,3.00E+06,NA,0,no.
b,2217,5.85E-03,y,p,ff,ff,0,f,f,0,f,g,100,0,1.00E+06,NA,0,no.
b,NA,4.00E-04,y,p,i,v,85,f,f,0,t,g,411,0,4110000,f,0,no.
b,4517,15,u,g,c,v,25,t,f,0,t,g,140,0,1400000,NA,0,no.
b,2458,135,y,p,ff,ff,0,f,f,0,f,g,NA,0,NA,f,0,no.
b,3367,125,u,g,W,v,1165,f,f,0,f,g,120,0,1200000,NA,0,no.
b,4058,15,u,g,i,bb,0,f,f,0,f,s,300,0,3.00E+06,NA,0,no.
b,1633,4085,u,g,i,h,415,f,f,0,t,g,120,0,1200000,NA,0,no.
b,3575,2415,u,g,W,v,125,f,t,2,f,g,220,1,2200000,t,0,no.
a,NA,15,u,g,ff,ff,0,f,t,2,t,g,200,105,2.00E+06,NA,0,no.
b,4958,19,u,g,ff,ff,0,t,t,1,f,g,94,0,940000,NA,0,no.
a,3025,55,u,g,k,v,55,f,f,0,t,s,100,0,1.00E+06,NA,0,no.
b,3467,108,u,g,m,v,1165,f,f,0,f,s,28,0,280000,f,0,no.
a,5025,8.35E-03,u,g,aa,v,5,f,f,0,t,g,240,117,2400000,f,0,no.
b,NA,3.00E-04,y,p,i,bb,7,f,f,0,f,g,0,1,0,f,0,no.
a,5758,2.00E-04,u,g,ff,ff,65,f,t,1,f,g,0,10,0,t,0,no.
a,2483,45,u,g,W,v,1,f,f,0,t,g,360,6,3600000,f,0,no.
b,2225,9.00E-04,u,g,aa,v,85,f,f,0,f,g,0,0,0,f,0,no.
b,2108,10085,y,p,e,h,125,f,f,0,f,g,260,0,2600000,NA,0,no.
a,5217,0,y,p,ff,ff,0,f,f,0,f,g,0,0,0,NA,0,no.
a,2358,115,y,p,k,h,3,f,f,0,t,g,20,16,2.00E+05,f,0,no.
b,215,975,u,g,c,v,25,t,f,0,f,g,140,0,1400000,NA,0,no.
a,285,304,y,p,x,h,254,t,t,1,f,g,70,0,7.00E+05,NA,1,yes.
b,1917,95,u,g,W,v,15,t,f,0,f,g,120,2206,1200000,NA,1,yes.
a,215,6.00E-04,u,g,aa,v,25,t,t,3,f,g,80,918,8.00E+05,t,1,yes.
b,175,22,l,gg,ff,o,0,f,f,0,t,p,450,100000,4500000,f,1,yes.
b,2667,271,y,p,cc,v,525,t,t,1,f,g,211,0,2110000,NA,1,yes.
b,3442,425,u,g,i,bb,325,t,t,2,f,g,274,610,2740000,t,1,yes.
b,7342,1775,u,g,ff,ff,0,t,f,0,t,g,0,0,0,f,1,yes.
a,23,1175,u,g,x,h,5,t,t,2,t,g,300,551,3.00E+06,NA,1,yes.
b,2308,25,u,g,c,v,1085,t,t,11,t,g,60,2184,6.00E+05,NA,1,yes.
b,1942,65,u,g,W,h,146,t,t,7,f,g,80,2954,8.00E+05,t,1,yes.
b,2333,11625,y,p,W,v,835,t,f,0,t,g,160,300,1600000,NA,1,yes.
b,4217,504,u,g,q,h,1275,t,f,0,t,g,92,0,920000,NA,1,yes.
b,2125,15,u,g,W,v,15,f,f,0,f,g,150,8,1500000,NA,1,yes.
b,3417,525,u,g,W,v,85,f,f,0,t,g,290,6,2900000,NA,1,yes.
a,4775,8.00E-04,u,g,c,v,7875,t,t,6,t,g,0,1260,0,t,1,yes.
a,4433,0,u,g,c,v,25,t,f,0,f,g,0,0,0,NA,1,yes.
b,395,425,u,g,c,bb,65,t,t,16,f,g,117,1210,1170000,t,1,yes.
a,4117,65,u,g,q,v,5,t,t,3,t,g,145,0,1450000,NA,1,yes.
b,2992,1835,u,g,c,h,4335,t,f,0,f,g,260,200,2600000,f,1,yes.
b,2317,0,NA,NA,NA,NA,0,f,f,0,f,p,NA,0,NA,f,1,yes.
b,3517,25,u,g,k,v,45,t,t,7,f,g,150,1270,1500000,t,1,yes.
a,1917,8585,u,g,cc,h,75,t,t,7,f,g,96,0,960000,NA,1,yes.
b,525,65,u,g,k,v,629,t,t,15,f,g,0,11202,0,t,1,yes.
b,3992,621,u,g,q,v,4,t,t,1,f,g,200,300,2.00E+06,t,1,yes.
b,2133,105,u,g,c,v,3,t,f,0,t,g,0,0,0,NA,1,yes.
a,3575,9.15E-03,u,g,aa,v,75,t,t,4,f,g,0,1583,0,t,1,yes.
b,6775,55,u,g,e,z,13,t,t,1,t,g,0,0,0,t,1,yes.
b,3267,9.00E-04,y,p,W,h,525,t,f,0,t,g,154,0,1540000,f,1,yes.
b,495,7585,u,g,i,bb,7585,t,t,15,t,g,0,5000,0,t,1,yes.
b,21,3.00E-04,y,p,d,v,1085,t,t,8,t,g,160,1,1600000,t,1,yes.
a,525,7.00E-04,u,g,aa,h,3,f,f,0,f,g,0,0,0,f,0,no.
a,3325,3.00E-04,y,p,aa,v,2,f,f,0,f,g,180,0,1800000,NA,0,no.
b,1833,121,y,p,e,dd,0,f,f,0,f,g,100,0,1.00E+06,f,0,no.
b,295,5.80E-04,u,g,W,v,29,f,t,1,f,g,340,2803,3400000,t,0,no.
b,2217,225,u,g,i,v,125,f,f,0,f,g,160,10,1600000,NA,0,no.
b,2292,1.70E-04,u,g,m,v,85,f,f,0,f,s,0,0,0,f,0,no.
b,1942,725,u,g,m,v,4,f,t,1,f,g,100,1,1.00E+06,NA,0,no.
b,2617,125,y,p,k,h,125,f,f,0,t,g,0,17,0,NA,0,no.
b,2758,325,y,p,q,h,5085,f,t,2,t,g,369,1,3690000,t,0,no.
b,16,3125,u,g,W,v,85,f,t,1,f,g,0,6,0,NA,0,no.
a,2858,375,u,g,c,v,25,f,t,1,t,g,40,154,4.00E+05,NA,0,no.
a,3875,15,u,g,ff,ff,0,f,f,0,f,g,76,0,760000,NA,0,no.
b,3208,4.00E-04,y,p,cc,v,15,f,f,0,t,g,120,0,1200000,f,0,no.
b,1825,1.65E-03,u,g,d,v,25,f,f,0,t,s,280,0,2800000,NA,0,no.
a,2175,175,y,p,j,j,0,f,f,0,f,g,160,0,1600000,NA,0,no.
b,1858,571,u,g,d,v,54,f,f,0,f,g,120,0,1200000,f,0,no.
b,23,7.50E-04,u,g,m,v,5,f,f,0,t,s,320,0,3200000,f,0,no.
a,2267,7.50E-04,u,g,c,v,2,f,t,2,t,g,200,394,2.00E+06,NA,0,no.
NA,3317,225,y,p,cc,v,35,f,f,0,t,g,200,141,2.00E+06,f,0,no.
b,23,6.25E-03,y,p,aa,v,125,t,f,0,f,g,180,1,1800000,NA,0,no.
b,2225,4.60E-04,u,g,k,v,125,f,f,0,t,g,280,55,2800000,NA,0,no.
NA,2817,5.85E-03,u,g,aa,v,4,f,f,0,f,g,260,1004,2600000,f,0,no.
a,5333,1.65E-03,u,g,ff,ff,0,f,f,0,t,s,62,27,620000,f,0,no.
a,245,2415,y,p,c,v,0,f,f,0,f,g,120,0,1200000,f,0,no.
b,2592,8.75E-03,u,g,k,v,375,f,t,2,t,g,174,3,1740000,t,0,no.
b,1633,275,u,g,aa,v,665,f,t,1,f,g,80,21,8.00E+05,t,0,no.
b,34,45,u,g,aa,v,1,t,f,0,t,g,240,0,2400000,NA,0,no.
b,4917,229,u,g,ff,ff,29,f,f,0,f,g,200,3,2.00E+06,NA,0,no.
a,235,15,u,g,W,v,875,f,f,0,t,g,160,0,1600000,f,0,no.
a,1958,6.65E-03,u,g,W,v,1665,f,f,0,f,g,220,5,2200000,NA,0,no.
b,2117,0,u,g,c,v,5,f,f,0,t,s,0,0,0,f,0,no.
a,3833,4415,u,g,c,v,125,f,f,0,f,g,160,0,1600000,f,0,no.
b,375,8.35E-03,u,g,e,v,4,f,f,0,f,g,120,5,1200000,NA,0,no.
a,2108,5.00E-04,y,p,ff,ff,0,f,f,0,f,g,0,0,0,NA,0,no.
b,28,3.00E-04,u,g,W,v,75,f,f,0,t,g,300,67,3.00E+06,NA,0,no.
b,2517,3.00E-04,u,g,c,v,125,f,t,1,f,g,0,22,0,NA,0,no.
b,3292,25,u,g,aa,v,175,f,t,2,t,g,720,0,7200000,t,0,no.
a,2275,6165,u,g,aa,v,165,f,f,0,f,g,220,1000,2200000,NA,0,no.
b,2825,8.75E-03,u,g,m,v,96,t,t,3,t,g,396,0,3960000,t,1,yes.
b,3417,154,u,g,cc,v,154,t,t,1,t,g,520,50000,5200000,NA,1,yes.
b,3192,446,u,g,cc,h,604,t,t,3,f,g,311,300,3110000,NA,1,yes.
a,295,4.60E-04,u,g,k,v,54,t,t,4,f,g,380,500,3800000,NA,1,yes.
b,2317,0,u,g,cc,v,85,t,f,0,f,g,0,0,0,f,1,yes.
a,1808,3.75E-03,l,gg,cc,ff,10,f,f,0,t,s,300,0,3.00E+06,f,1,yes.
a,2475,3.00E-04,u,g,q,h,1835,t,t,19,f,g,0,500,0,NA,1,yes.
a,2083,3.00E-04,u,g,aa,v,4,t,f,0,f,g,100,0,1.00E+06,f,1,yes.
b,28,2.00E-04,u,g,k,h,4165,t,t,2,t,g,181,0,1810000,NA,1,yes.
b,2042,1835,u,g,c,v,225,t,t,1,f,g,100,150,1.00E+06,NA,1,yes.
b,2867,9335,u,g,q,h,5665,t,t,6,f,g,381,168,3810000,t,1,yes.
b,2192,5.40E-04,y,p,x,v,4,t,t,1,t,g,840,59,8400000,t,1,yes.
b,4325,3.00E-04,u,g,q,h,6,t,t,11,f,g,80,0,8.00E+05,NA,1,yes.
b,2042,7.00E-04,u,g,c,v,1625,t,t,3,f,g,200,1391,2.00E+06,NA,1,yes.
b,42,2.05E-03,u,g,i,h,5125,t,f,0,f,g,400,0,4.00E+06,NA,1,yes.
a,2342,7.90E-04,y,p,q,v,15,t,t,2,t,g,80,400,8.00E+05,NA,1,yes.
a,2517,2875,u,g,x,h,875,t,f,0,f,g,360,0,3600000,NA,1,yes.
b,2483,275,u,g,c,v,225,t,t,6,f,g,NA,600,NA,NA,1,yes.
NA,245,1275,u,g,c,bb,475,t,t,2,f,g,73,444,730000,NA,1,yes.
b,375,1125,y,p,d,v,15,f,f,0,t,g,431,0,4310000,NA,1,yes.
b,3675,1.25E-03,y,p,c,v,15,f,f,0,t,g,232,113,2320000,f,1,yes.
b,2825,504,y,p,c,bb,15,t,t,8,t,g,144,7,1440000,t,1,yes.
b,3275,15,u,g,cc,h,55,t,t,3,t,g,0,0,0,t,1,yes.
a,1783,11,u,g,x,h,1,t,t,11,f,g,0,3000,0,NA,1,yes.
a,2283,229,u,g,q,h,229,t,t,7,t,g,140,2384,1400000,t,1,yes.
b,1375,4.00E-04,y,p,W,v,175,t,t,2,t,g,120,1000,1200000,NA,1,yes.
a,41,204,y,p,q,h,125,t,t,23,t,g,455,1236,4550000,NA,1,yes.
b,2308,115,u,g,W,h,2125,t,t,11,t,g,290,284,2900000,NA,1,yes.
b,2017,5625,u,g,W,v,171,t,f,0,f,s,120,0,1200000,NA,1,yes.
a,5008,1254,u,g,aa,v,229,t,t,3,t,g,156,0,1560000,NA,1,yes.
b,27,7.50E-04,u,g,c,h,425,t,t,3,t,g,312,150,3120000,t,1,yes.
NA,2975,6.65E-03,u,g,W,v,25,f,f,0,t,g,300,0,3.00E+06,f,0,no.
b,2525,1.00E-04,u,g,aa,v,5,f,f,0,f,g,200,0,2.00E+06,NA,0,no.
b,3917,25,y,p,i,h,10,f,f,0,t,s,200,0,2.00E+06,NA,0,no.
b,2008,2.50E-04,u,g,q,v,125,f,f,0,f,g,200,0,2.00E+06,f,0,no.
b,4425,5.00E-05,u,g,m,v,1075,t,f,0,f,s,400,0,4.00E+06,f,0,no.
a,2767,15,u,g,m,v,2,t,f,0,f,s,368,0,3680000,NA,0,no.
b,2692,225,u,g,i,bb,5,f,f,0,t,g,640,4000,6400000,NA,0,no.
a,2733,1665,u,g,ff,ff,0,f,f,0,f,g,340,1,3400000,NA,0,no.
b,1625,8.35E-03,u,g,m,v,85,t,f,0,f,s,200,0,2.00E+06,NA,0,no.
b,3367,2165,u,g,c,v,15,f,f,0,f,p,120,0,1200000,NA,0,no.
a,225,11,y,p,q,v,3,t,f,0,t,g,268,0,2680000,NA,0,no.
b,3733,2665,u,g,cc,v,165,f,f,0,t,g,0,501,0,NA,0,no.
b,2925,13,u,g,d,h,5,f,f,0,f,g,228,0,2280000,NA,0,no.
b,35,3375,u,g,c,h,829,f,f,0,t,g,0,0,0,f,0,no.
a,2267,7.00E-04,u,g,c,v,165,f,f,0,f,g,160,0,1600000,f,0,no.
b,3475,25,u,g,cc,bb,5,f,f,0,f,g,348,0,3480000,f,0,no.
b,2067,529,u,g,q,v,375,t,t,1,f,g,160,0,1600000,t,0,no.
b,2208,1146,u,g,k,v,1585,f,f,0,t,g,100,1212,1.00E+06,NA,0,no.
a,2075,954,u,g,i,v,4,f,f,0,f,g,200,1000,2.00E+06,NA,0,no.
b,4092,225,y,p,x,h,10,t,f,0,t,g,176,0,1760000,NA,0,no.
b,2342,5.85E-03,u,g,c,h,85,t,f,0,f,g,180,0,1800000,f,0,no.
a,2858,1665,u,g,q,v,2415,t,f,0,t,g,440,0,4400000,NA,0,no.
a,1583,7625,u,g,q,v,125,f,t,1,t,g,0,160,0,t,0,no.
a,1858,1,u,g,d,v,415,f,f,0,f,g,80,42,8.00E+05,f,0,no.
a,3658,2.90E-04,u,g,ff,ff,0,f,t,10,f,g,200,18,2.00E+06,t,0,no.
NA,4533,1.00E-04,u,g,q,v,125,f,f,0,t,g,263,0,2630000,f,0,no.
